alpha,gamma,h,T_max,seed,N,loss_final,err_vs_yext_inf,residual_inf,residual_int_inf,residual_full_inf,L1_consistency_err,iters_adam,wall_time_s
1.2,2.7,0.05,30.0,2,600,3.7253147152262874e-08,0.01837493635727072,0.002228635434848081,0.002228635434848081,0.002228635434848081,0.06280911246699983,8000,6.591953992843628
1.2,2.7,0.05,30.0,3,600,3.955774662277805e-08,0.02266175772421697,0.002382357906176802,0.002382357906176802,0.002382357906176802,0.06280911246699983,8000,6.562193870544434
1.2,2.7,0.05,30.0,4,600,3.876978147332235e-08,0.02068990627101941,0.002265400691876862,0.002265400691876862,0.002265400691876862,0.06280911246699983,8000,6.549144983291626
1.2,2.7,0.025,30.0,0,1200,9.857970574654479e-10,0.0137576386009165,0.0005835708609841506,0.0005835708609841506,0.0005835708609841506,0.03291205740737557,8000,25.80508804321289
1.2,2.7,0.025,30.0,1,1200,2.3944593369419674e-09,0.008474928027933037,0.0008178796911388897,0.0008178796911388897,0.0008178796911388897,0.03291205740737557,8000,20.175662994384766
1.2,2.7,0.025,30.0,2,1200,1.494939848721986e-09,0.008338476673624418,0.0006520134566241342,0.0006520134566241342,0.0006520134566241342,0.03291205740737557,8000,20.176695108413696
1.2,2.7,0.025,30.0,3,1200,2.1525776675197545e-09,0.012274314089181892,0.0008168686638239109,0.0008168686638239109,0.0008168686638239109,0.03291205740737557,8000,20.512500047683716
1.2,2.7,0.025,30.0,4,1200,2.337176614854497e-09,0.01035269920399573,0.0007738049827771265,0.0007738049827771265,0.0007738049827771265,0.03291205740737557,8000,20.407607078552246
1.2,2.7,0.0125,30.0,0,2400,8.973078839485927e-10,0.009676134040935036,0.0003955412477765208,0.0003955412477765208,0.0003955412477765208,0.016669177442259375,8000,74.41236567497253
1.2,2.7,0.0125,30.0,1,2400,1.7211981376358506e-09,0.0035603524615031024,0.0005388216207113938,0.0005388216207113938,0.0005388216207113938,0.016669177442259375,8000,97.32697606086731
1.2,2.7,0.0125,30.0,2,2400,7.895080629450573e-10,0.0031875768570224228,0.0003341886803256422,0.0003341886803256422,0.0003341886803256422,0.016669177442259375,8000,73.3395528793335
1.2,2.7,0.0125,30.0,3,2400,1.5008011378910045e-09,0.007149922522473262,0.000507711791397969,0.000507711791397969,0.000507711791397969,0.016669177442259375,8000,73.57422590255737
1.2,2.7,0.0125,30.0,4,2400,1.5342241264689652e-09,0.00510420822479396,0.0004596944746013687,0.0004596944746013687,0.0004596944746013687,0.016669177442259375,8000,74.20011591911316
1.2,3.2,0.4,30.0,0,75,0.00026313186247893246,0.12218481023920863,0.07221596814946984,0.07221596814946984,0.07221596814946984,0.22429257218530513,8000,3.0921237468719482
1.2,3.2,0.4,30.0,1,75,0.0002631580754028086,0.12154097888473786,0.07222607705965395,0.07222607705965395,0.07222607705965395,0.22429257218530513,8000,3.915863037109375
1.2,3.2,0.4,30.0,2,75,0.0002634221771976615,0.1189254069614909,0.07234630729868285,0.07234630729868285,0.07234630729868285,0.22429257218530513,8000,3.921445846557617
1.2,3.2,0.4,30.0,3,75,0.00026316723820578666,0.12169595741915884,0.07223553077643852,0.07223553077643852,0.07223553077643852,0.22429257218530513,8000,3.921644687652588
1.2,3.2,0.4,30.0,4,75,0.0002632979033504175,0.12058308154091729,0.07233469895018158,0.07233469895018158,0.07233469895018158,0.22429257218530513,8000,3.930617094039917
1.2,3.2,0.2,30.0,0,150,1.8999103888672657e-05,0.06848563245962175,0.02744540124623407,0.02744540124623407,0.02744540124623407,0.17680483984116524,8000,5.034226894378662
1.2,3.2,0.2,30.0,1,150,1.9100656536621845e-05,0.07042643474562388,0.027550590985942036,0.027550590985942036,0.027550590985942036,0.17680483984116524,8000,4.694019079208374
1.2,3.2,0.2,30.0,2,150,1.9021108789028465e-05,0.06769997604832806,0.027458738097341118,0.027458738097341118,0.027458738097341118,0.17680483984116524,8000,5.080081224441528
1.2,3.2,0.2,30.0,3,150,1.9005400955246762e-05,0.06770185499129627,0.02745147249375779,0.02745147249375779,0.02745147249375779,0.17680483984116524,8000,5.0000691413879395
1.2,3.2,0.2,30.0,4,150,1.9194219922063677e-05,0.06885759206219505,0.02777549394147827,0.02777549394147827,0.02777549394147827,0.17680483984116524,8000,4.5256569385528564
1.2,3.2,0.1,30.0,0,300,8.032499743333266e-07,0.04017010504413432,0.008188324190415264,0.008188324190415264,0.008188324190415264,0.12384636845738961,8000,6.113684892654419
1.2,3.2,0.1,30.0,1,300,9.019098089876857e-07,0.03716005419292595,0.00920722779022265,0.00920722779022265,0.00920722779022265,0.12384636845738961,8000,5.769511938095093
